Wall time,Step,Value
1770227757.1736891,0,-2.200000047683716
1770227788.3232846,1,-3.680000066757202
1770227816.586815,2,-4.460000038146973
1770227845.082299,3,-4.400000095367432
1770227874.0616663,4,-2.740000009536743
1770227904.0944517,5,-4.119999885559082
1770227932.5184128,6,-3.9200000762939453
1770227957.8923068,7,-2.4000000953674316
1770227985.502662,8,-2.759999990463257
1770228012.8593385,9,-5.179999828338623
1770228040.4462821,10,-4.800000190734863
1770228072.1026337,11,-4.619999885559082
1770228099.6683888,12,-5.420000076293945
1770228127.9034638,13,-4.260000228881836
1770228156.1601448,14,-5.179999828338623
1770228186.1724823,15,-4.099999904632568
1770228216.7477384,16,-2.680000066757202
1770228245.4516866,17,-4.28000020980835
1770228273.5440118,18,-5.639999866485596
1770228307.9321852,19,-4.619999885559082
1770228337.2076714,20,-3.759999990463257
1770228367.8279588,21,-4.699999809265137
1770228395.176157,22,-4.139999866485596
1770228421.6656818,23,-4.679999828338623
1770228453.9687002,24,-5.079999923706055
1770228483.318659,25,-5.119999885559082
1770228509.8286293,26,-5.260000228881836
1770228537.3705564,27,-4.420000076293945
1770228562.8417373,28,-4.920000076293945
1770228593.4037046,29,-4.0
1770228616.0749888,30,-3.9600000381469727
1770228637.97017,31,-3.5
1770228661.7299333,32,-4.539999961853027
1770228683.9716034,33,-3.4200000762939453
1770228706.8914936,34,-3.200000047683716
1770228730.211803,35,-4.5
1770228756.4337122,36,-3.7200000286102295
1770228781.383132,37,-3.259999990463257
1770228810.9102452,38,-4.179999828338623
1770228843.8773088,39,-2.200000047683716
1770228873.8899517,40,-3.5399999618530273
1770228902.8220189,41,-2.4200000762939453
1770228933.0193715,42,-4.0
1770228961.143445,43,-3.0
1770228987.7490394,44,-3.4800000190734863
1770229014.4056046,45,-2.7200000286102295
1770229041.0097895,46,-3.640000104904175
1770229071.1988869,47,-4.380000114440918
1770229099.8534317,48,-3.859999895095825
1770229128.1347528,49,-3.2200000286102295
1770229155.0451033,50,-3.9200000762939453
1770229181.1422157,51,-3.640000104904175
1770229210.0988636,52,-1.6799999475479126
1770229242.350242,53,-3.5799999237060547
1770229276.2338037,54,-3.4200000762939453
1770229303.6981878,55,-2.3399999141693115
1770229332.6276264,56,-4.760000228881836
1770229360.2801664,57,-2.240000009536743
1770229388.9895499,58,-3.5399999618530273
1770229420.2186103,59,-2.700000047683716
1770229447.6797593,60,-2.7799999713897705
1770229474.707655,61,-4.320000171661377
1770229502.2647429,62,-3.3399999141693115
1770229530.066773,63,-0.5
1770229557.159612,64,-3.0
1770229584.4229639,65,-3.6600000858306885
1770229616.6794899,66,-4.239999771118164
1770229648.3328874,67,-2.9000000953674316
1770229684.974929,68,-3.2799999713897705
1770229718.8623245,69,-3.819999933242798
1770229751.7289839,70,-2.7799999713897705
1770229805.090425,71,-3.7200000286102295
1770229845.6801252,72,-3.319999933242798
1770229875.389367,73,-3.200000047683716
1770229903.9460921,74,-4.079999923706055
1770229942.7990541,75,-2.6600000858306885
1770229975.9746265,76,-2.1600000858306885
1770230006.7738605,77,-2.7200000286102295
1770230031.8782396,78,-2.619999885559082
1770230054.0461032,79,-2.7200000286102295
1770230078.2071064,80,-3.4200000762939453
1770230110.1345084,81,-2.5799999237060547
1770230146.2574267,82,-2.5
1770230181.120369,83,-4.440000057220459
1770230213.0986128,84,-4.099999904632568
1770230248.0609355,85,-3.319999933242798
1770230285.139947,86,-2.640000104904175
1770230321.2457325,87,-3.180000066757202
1770230352.1559002,88,-2.619999885559082
1770230377.8772812,89,-3.0799999237060547
1770230405.0553932,90,-3.559999942779541
1770230440.1317136,91,-1.6200000047683716
1770230469.7078965,92,-2.7799999713897705
1770230493.822,93,-1.440000057220459
1770230518.8607745,94,-2.640000104904175
1770230545.986133,95,-3.700000047683716
1770230574.3077579,96,-2.5199999809265137
1770230601.315874,97,-2.759999990463257
1770230627.2027142,98,-1.7200000286102295
1770230653.6959739,99,-2.319999933242798
