Wall time,Step,Value
1771679339.7612395,5,147.1999969482422
1771679474.3349097,6,176.8000030517578
1771680069.8514555,11,180.8000030517578
1771680393.7319407,14,129.60000610351562
1771680515.6381896,15,192.39999389648438
1771680868.7108335,18,133.1999969482422
1771680975.1706307,19,105.19999694824219
1771681081.95782,20,170.0
1771681509.9893372,24,158.0
1771682795.4660509,36,172.39999389648438
1771683219.8107712,40,150.0
1771683402.7087739,42,150.0
1771683592.3016274,44,133.1999969482422
1771683693.3698416,45,181.1999969482422
1771683875.6923711,47,122.0
1771684452.0681958,53,184.8000030517578
1771684548.9068675,54,170.39999389648438
1771684644.193653,55,124.0
1771684736.0411124,56,123.5999984741211
1771684823.4593651,57,178.39999389648438
1771685359.2033567,63,123.5999984741211
1771685541.2151685,65,151.60000610351562
1771685721.0840645,67,150.0
1771685811.218238,68,148.39999389648438
1771686081.7169755,71,104.0
1771686170.4634907,72,132.0
1771686258.6398187,73,151.60000610351562
1771686348.1499422,74,137.60000610351562
1771686789.8239348,79,166.39999389648438
1771687232.326793,84,170.39999389648438
1771687498.7618093,87,120.0
1771687586.0906084,88,126.80000305175781
1771688118.7492335,94,156.39999389648438
1771688828.259073,102,178.8000030517578
1771689094.2678812,105,128.39999389648438
1771689182.1995072,106,144.39999389648438
1771689803.7835789,113,161.1999969482422
1771690069.5233433,116,156.8000030517578
1771690245.1364474,118,184.8000030517578
1771690862.2543213,125,117.19999694824219
1771690949.6461403,126,163.1999969482422
1771691218.4557724,129,149.60000610351562
1771691306.4976084,130,136.8000030517578
1771691939.522455,137,165.60000610351562
1771692121.2615108,139,130.0
1771692298.778642,141,166.0
1771692386.459718,142,111.19999694824219
1771692474.22465,143,180.0
1771693092.1997905,150,145.60000610351562
1771693539.3663778,155,124.4000015258789
1771693717.1541908,157,194.8000030517578
1771693804.7034702,158,150.39999389648438
1771694160.6883051,162,145.60000610351562
1771694606.3430028,167,148.8000030517578
1771694695.7332745,168,154.39999389648438
1771694963.1171296,171,94.4000015258789
1771695493.440174,177,112.0
1771695581.8993423,178,145.60000610351562
1771695757.8993518,180,171.60000610351562
1771696022.2870395,183,138.8000030517578
1771696196.9879308,185,170.0
1771696285.1657035,186,142.39999389648438
1771696461.6326854,188,149.1999969482422
1771696640.6559684,190,181.1999969482422
1771696729.1261075,191,139.60000610351562
1771697347.891728,198,116.0
1771698055.4860215,206,178.39999389648438
1771698144.3089585,207,110.80000305175781
1771698234.1102686,208,160.0
1771698589.8945982,212,124.80000305175781
1771699477.0929277,222,142.39999389648438
1771699564.55289,223,163.60000610351562
1771699740.1774395,225,137.1999969482422
1771700092.9367554,229,164.0
1771700364.2653797,232,154.8000030517578
1771700454.3373613,233,138.0
1771700542.0517795,234,156.39999389648438
1771700808.9249947,237,186.8000030517578
1771701876.6382282,249,126.80000305175781
1771702410.5957625,255,158.39999389648438
1771702675.4193761,258,136.8000030517578
1771702851.415611,260,131.1999969482422
1771702940.5105174,261,142.39999389648438
1771703118.4026008,263,189.60000610351562
1771703472.6685042,267,102.0
1771703825.0591707,271,118.4000015258789
1771704002.8328917,273,126.0
1771704446.4844346,278,128.39999389648438
1771705605.369689,291,124.0
1771705693.6484535,292,130.8000030517578
1771706135.9782043,297,190.0
1771706224.543804,298,161.60000610351562
1771706581.4750564,302,138.39999389648438
1771706671.1324315,303,192.39999389648438
1771707026.3395202,307,169.60000610351562
1771707114.9105215,308,152.8000030517578
1771707290.3787844,310,142.39999389648438
1771707560.991693,313,100.0
