Wall time,Step,Value
1771679339.7602067,5,16.0
1771679474.3349097,6,16.0
1771680069.8504558,11,16.0
1771680393.7319407,14,28.0
1771680515.6381896,15,12.0
1771680868.7108335,18,28.0
1771680975.1706307,19,32.0
1771681081.9568195,20,20.0
1771681509.9883404,24,20.0
1771682795.4660509,36,24.0
1771683219.8107712,40,56.0
1771683402.7087739,42,36.0
1771683592.3003807,44,40.0
1771683693.3698416,45,20.0
1771683875.6923711,47,16.0
1771684452.0670538,53,16.0
1771684548.9068675,54,28.0
1771684644.192503,55,32.0
1771684736.0411124,56,20.0
1771684823.4593651,57,12.0
1771685359.2033567,63,12.0
1771685541.2139933,65,28.0
1771685721.0840645,67,32.0
1771685811.218238,68,20.0
1771686081.7159753,71,40.0
1771686170.4634907,72,32.0
1771686258.6398187,73,16.0
1771686348.1489418,74,20.0
1771686789.8229346,79,40.0
1771687232.326793,84,20.0
1771687498.7618093,87,12.0
1771687586.0906084,88,28.0
1771688118.7492335,94,32.0
1771688828.2580726,102,28.0
1771689094.2678812,105,32.0
1771689182.1995072,106,12.0
1771689803.7835789,113,32.0
1771690069.5233433,116,24.0
1771690245.135443,118,8.0
1771690862.2543213,125,24.0
1771690949.6461403,126,28.0
1771691218.4557724,129,20.0
1771691306.4976084,130,16.0
1771691939.522455,137,28.0
1771692121.2615108,139,28.0
1771692298.778642,141,36.0
1771692386.459718,142,28.0
1771692474.22465,143,20.0
1771693092.198791,150,32.0
1771693539.3663778,155,28.0
1771693717.1541908,157,12.0
1771693804.7034702,158,36.0
1771694160.6883051,162,24.0
1771694606.3430028,167,28.0
1771694695.7332745,168,36.0
1771694963.116129,171,20.0
1771695493.440174,177,28.0
1771695581.8993423,178,16.0
1771695757.8993518,180,24.0
1771696022.2860434,183,20.0
1771696196.9879308,185,12.0
1771696285.1657035,186,12.0
1771696461.631685,188,36.0
1771696640.6559684,190,28.0
1771696729.1261075,191,36.0
1771697347.891728,198,28.0
1771698055.4860215,206,12.0
1771698144.3089585,207,40.0
1771698234.1092649,208,32.0
1771698589.8935971,212,48.0
1771699477.0929277,222,36.0
1771699564.55289,223,20.0
1771699740.1764073,225,12.0
1771700092.9367554,229,28.0
1771700364.2653797,232,32.0
1771700454.3373613,233,16.0
1771700542.0517795,234,28.0
1771700808.9249947,237,24.0
1771701876.637229,249,24.0
1771702410.5957625,255,20.0
1771702675.4181187,258,24.0
1771702851.415611,260,32.0
1771702940.5105174,261,36.0
1771703118.4026008,263,20.0
1771703472.6685042,267,28.0
1771703825.0591707,271,40.0
1771704002.8328917,273,28.0
1771704446.4834013,278,24.0
1771705605.369689,291,28.0
1771705693.6472878,292,28.0
1771706135.9782043,297,16.0
1771706224.543804,298,28.0
1771706581.4740548,302,28.0
1771706671.1324315,303,12.0
1771707026.3395202,307,36.0
1771707114.9105215,308,36.0
1771707290.3787844,310,24.0
1771707560.991693,313,28.0
1771708026.0765977,318,36.0
1771708114.4437253,319,44.0
1771708203.1190834,320,28.0
1771708645.303649,325,32.0
1771708732.5896406,326,28.0
1771708820.8330877,327,32.0
1771709087.3308103,330,12.0
1771709887.232743,339,24.0
1771710065.4516153,341,24.0
1771710418.2703602,345,24.0
1771710595.1092942,347,36.0
1771711127.1585386,353,20.0
1771711216.2006958,354,32.0
1771711744.027168,360,32.0
1771712010.007331,363,32.0
1771712364.4898577,367,40.0
1771712721.92768,371,12.0
1771712899.562832,373,24.0
1771713254.298225,377,36.0
1771713343.6905549,378,28.0
1771713432.576133,379,48.0
1771713608.919796,381,20.0
1771714050.5480237,386,28.0
1771714137.8845675,387,36.0
1771714492.3117492,391,24.0
1771714580.7701912,392,24.0
1771714670.5915515,393,24.0
1771715995.7778225,408,32.0
1771716618.937874,415,28.0
1771716707.5982175,416,32.0
1771717149.112665,421,24.0
1771717237.5817902,422,28.0
1771717415.4351287,424,32.0
1771717594.0046325,426,36.0
1771717951.6455753,430,32.0
1771718757.9303422,439,20.0
1771718937.0085025,441,24.0
1771719026.4561977,442,12.0
1771719291.1034594,445,24.0
1771719820.6548474,451,44.0
1771720530.0563817,459,32.0
1771720618.240476,460,36.0
1771720884.1083837,463,36.0
1771720973.0365906,464,24.0
1771721240.455103,467,40.0
1771721327.69002,468,20.0
1771721771.4143608,473,28.0
1771721861.2401853,474,20.0
1771722849.0055225,485,16.0
1771723114.681966,488,20.0
1771723203.7729094,489,32.0
1771723380.6161644,491,20.0
1771723556.668757,493,28.0
1771723820.820286,496,36.0
1771724799.6749802,507,24.0
1771725243.4349415,512,44.0
1771725421.312585,514,32.0
1771725689.3468323,517,4.0
1771725864.709608,519,12.0
1771726315.4666991,524,16.0
1771726403.5148978,525,48.0
1771726936.0602956,531,20.0
1771727114.130674,533,40.0
1771727202.548254,534,24.0
1771727380.555004,536,24.0
1771727470.4920285,537,20.0
1771727736.6527274,540,28.0
1771727914.9251351,542,36.0
1771728361.1007323,547,44.0
1771728449.618784,548,12.0
1771728538.8709848,549,16.0
1771728716.0050812,551,12.0
1771729250.2356296,557,40.0
1771729428.3676045,559,36.0
1771729781.4173837,563,24.0
1771729869.7016053,564,28.0
1771729959.3844202,565,28.0
1771730312.8935075,569,28.0
1771730666.4417107,573,20.0
1771730755.5936236,574,20.0
1771731020.7453485,577,28.0
1771731196.5060263,579,16.0
1771731285.674288,580,48.0
1771731373.2648468,581,40.0
1771731461.5066524,582,28.0
1771731551.612002,583,16.0
1771731640.8243563,584,36.0
1771731818.7839246,586,24.0
1771731906.3065522,587,32.0
1771732346.8721187,592,24.0
1771732434.8549714,593,32.0
1771732790.087142,597,16.0
1771733057.9571574,600,32.0
1771733235.470404,602,32.0
1771733767.1119347,608,32.0
1771733945.0262163,610,12.0
1771734389.3765903,615,32.0
1771734747.2236173,619,16.0
1771734835.7817388,620,32.0
1771735013.5939531,622,24.0
1771736079.4879813,634,28.0
1771736714.6196208,641,44.0
1771736804.013253,642,16.0
1771736980.6363018,644,24.0
1771737069.1328769,645,24.0
1771737158.339056,646,48.0
1771737248.13125,647,28.0
1771737425.4499831,649,12.0
1771737690.9388897,652,48.0
1771738048.4253235,656,28.0
1771738137.1391916,657,20.0
1771738492.6213624,661,20.0
1771738759.0342326,664,56.0
1771739115.3011172,668,20.0
1771739380.474116,671,20.0
1771739469.124648,672,20.0
1771739558.3638077,673,24.0
1771739645.7852917,674,28.0
1771739734.4449458,675,40.0
1771739913.1078472,677,28.0
1771740003.1152673,678,40.0
1771740093.4348412,679,20.0
1771740361.8864589,682,32.0
1771740450.423131,683,16.0
1771740539.1408615,684,32.0
1771740716.3269346,686,20.0
1771740893.7494888,688,32.0
1771740983.2117724,689,28.0
1771741605.8834376,696,32.0
1771741871.3649473,699,24.0
1771742049.1535518,701,20.0
1771742227.9757116,703,28.0
1771742493.956111,706,32.0
1771742669.7675745,708,32.0
1771742846.0426283,710,24.0
1771743200.270589,714,16.0
1771743558.7750366,718,28.0
1771743826.9467804,721,12.0
1771743915.0634122,722,24.0
1771744006.1116343,723,32.0
1771744100.9160595,724,12.0
1771744633.7936492,730,20.0
1771745163.1649642,736,20.0
1771745339.3062909,738,12.0
1771745428.320822,739,28.0
1771745516.5619464,740,32.0
1771745781.4754379,743,32.0
1771746046.8801205,746,40.0
1771746135.6585336,747,16.0
1771746402.112513,750,16.0
1771746489.9702091,751,28.0
1771746578.4877603,752,12.0
1771746755.6453261,754,36.0
1771746933.42967,756,20.0
1771747469.2255714,762,24.0
1771747735.3712978,765,20.0
1771747824.6499925,766,32.0
1771748092.1305187,769,24.0
1771748179.8339398,770,16.0
1771748267.676075,771,32.0
1771748443.2338662,773,28.0
1771748531.4797175,774,16.0
1771749061.5046995,780,28.0
1771749414.5589998,784,36.0
1771749503.0507195,785,36.0
1771749682.1350665,787,36.0
1771749858.1540678,789,16.0
1771750034.781635,791,28.0
1771750122.7275367,792,32.0
1771750211.8305924,793,8.0
1771750299.145781,794,20.0
1771750388.242556,795,32.0
1771750653.8919532,798,36.0
1771750835.4159396,800,32.0
1771751015.6358218,802,32.0
1771751293.6125762,805,32.0
1771751489.8843446,807,8.0
1771751578.1013308,808,20.0
1771751667.769137,809,20.0
1771752199.251268,815,24.0
1771752286.8275256,816,48.0
1771752463.7397957,818,32.0
1771752730.7362816,821,16.0
1771753089.7481022,825,24.0
1771753354.5540187,828,12.0
1771753618.667027,831,20.0
1771753710.042226,832,36.0
1771753905.3116624,834,20.0
1771754106.1711266,836,40.0
1771754303.9553964,838,32.0
1771754797.8308063,843,40.0
1771755097.7026508,846,28.0
1771755293.255875,848,20.0
1771755583.9661362,851,20.0
1771756367.401477,859,8.0
1771756762.714219,863,28.0
1771757157.3594162,867,8.0
1771757351.5929964,869,20.0
1771757449.7499518,870,36.0
1771757838.9015434,874,16.0
1771758033.397574,876,32.0
1771758130.871818,877,36.0
1771758407.027456,880,16.0
1771758589.2715735,882,12.0
1771758772.2142348,884,32.0
1771759046.8380272,887,12.0
1771759236.1769803,889,32.0
1771759327.634956,890,28.0
1771759509.3529058,892,28.0
1771759873.6917622,896,8.0
1771760236.0367336,900,8.0
1771760863.5006454,907,36.0
1771760955.8754485,908,20.0
1771761045.6670442,909,48.0
1771761141.1784792,910,24.0
1771761318.3948588,912,20.0
1771761407.223426,913,24.0
1771761587.1150815,915,32.0
1771761676.3472576,916,28.0
1771761764.8947363,917,20.0
1771762039.8687317,920,12.0
1771762136.3029609,921,28.0
1771762227.4521527,922,20.0
1771762316.1559534,923,36.0
1771762495.1116254,925,28.0
1771763039.5371304,931,24.0
1771763131.3289196,932,20.0
1771763413.4576726,935,36.0
1771764059.7918277,942,40.0
1771764344.7882545,945,24.0
1771764974.0782487,952,32.0
1771765069.5260947,953,28.0
1771765166.19198,954,36.0
1771765365.9013288,956,40.0
1771765460.2114103,957,12.0
1771765552.9636476,958,32.0
1771765839.1227095,961,24.0
1771765928.436925,962,20.0
1771766105.3116777,964,24.0
1771766285.4708138,966,28.0
1771766375.3711476,967,36.0
1771766734.8332317,971,20.0
1771766824.0137177,972,36.0
1771767186.5262604,976,32.0
1771767276.0025458,977,24.0
1771767364.951762,978,16.0
1771767454.4868352,979,28.0
1771767720.2375298,982,8.0
1771767809.0172591,983,8.0
1771767897.5735395,984,24.0
1771768164.177139,987,8.0
1771768252.8550067,988,36.0
1771768969.2149382,996,24.0
1771769331.0870788,1000,28.0
1771769515.0603728,1002,20.0
1771769703.310721,1004,52.0
1771769795.3319716,1005,24.0
1771770075.670403,1008,20.0
1771770170.0880067,1009,16.0
1771770355.1066089,1011,16.0
1771770450.2143655,1012,36.0
1771770543.9121618,1013,32.0
1771770638.059857,1014,24.0
1771770908.3416433,1017,28.0
1771771627.3081641,1025,20.0
1771771807.4545436,1027,28.0
1771771985.3859553,1029,16.0
1771772173.3954613,1031,36.0
1771772264.5165017,1032,36.0
1771772534.9150743,1035,36.0
1771772717.3836043,1037,20.0
1771772805.64686,1038,24.0
1771772896.0224855,1039,20.0
1771773352.3278036,1044,16.0
1771773983.9405994,1051,32.0
1771774072.9392986,1052,32.0
1771774342.3498452,1055,20.0
1771774524.1675599,1057,32.0
1771775079.7547185,1063,20.0
1771775172.152805,1064,12.0
1771775354.9452958,1066,20.0
1771775536.4364395,1068,16.0
1771775896.5395496,1072,20.0
1771776266.8838382,1076,32.0
1771776452.2152154,1078,12.0
1771776916.1638813,1083,24.0
1771777009.959311,1084,8.0
1771777103.155693,1085,16.0
1771777756.7815344,1092,24.0
1771777848.615955,1093,44.0
1771778456.5934825,1099,28.0
1771778829.0155795,1103,28.0
1771778918.501035,1104,16.0
1771779007.2043815,1105,44.0
1771779814.0119228,1114,32.0
1771779993.0876284,1116,28.0
1771780265.9732826,1119,20.0
1771780644.924306,1123,20.0
1771780830.2070937,1125,36.0
1771780920.061756,1126,52.0
1771781278.365582,1130,16.0
1771781369.0227206,1131,28.0
1771781551.2273602,1133,24.0
1771781642.4537103,1134,32.0
1771781736.8966746,1135,36.0
1771782010.6425285,1138,32.0
1771782106.3337266,1139,12.0
1771783030.1468594,1149,32.0
1771783221.925883,1151,16.0
1771783318.981056,1152,28.0
1771783601.2193646,1155,4.0
1771783695.5017998,1156,24.0
1771783790.844618,1157,16.0
1771784071.286724,1160,20.0
1771784165.5865674,1161,28.0
1771784258.5684109,1162,20.0
1771785669.1097035,1177,56.0
1771785951.7886865,1180,20.0
1771786139.2491925,1182,32.0
1771786233.9564285,1183,24.0
1771786423.5583386,1185,20.0
1771786515.8997953,1186,20.0
1771786793.142507,1189,32.0
1771787073.2946377,1192,16.0
1771787173.2034245,1193,20.0
1771787273.616917,1194,16.0
1771787369.440814,1195,28.0
1771787558.4365776,1197,16.0
1771787743.5376372,1199,24.0
1771787932.764987,1201,32.0
1771788216.2911797,1204,28.0
1771788401.1792612,1206,36.0
1771788591.7493324,1208,36.0
1771788777.8366134,1210,12.0
1771788966.2225938,1212,24.0
1771789059.071897,1213,20.0
1771789152.5768168,1214,28.0
1771790093.9778378,1224,32.0
1771790469.0579996,1228,28.0
1771790845.1135478,1232,24.0
1771790941.0898407,1233,28.0
1771791038.6391573,1234,28.0
1771791227.3919654,1236,20.0
1771791506.915713,1239,24.0
1771791787.7465367,1242,40.0
1771791976.607626,1244,28.0
1771792260.0143282,1247,16.0
1771792445.8778698,1249,24.0
1771792821.4016516,1253,20.0
1771793011.1365936,1255,28.0
1771793197.6408708,1257,32.0
1771793291.9531844,1258,24.0
1771793575.2880163,1261,24.0
1771793669.4979577,1262,20.0
1771793763.8650482,1263,24.0
1771793859.3945255,1264,20.0
1771794054.329219,1266,28.0
1771794549.3335283,1271,28.0
1771794831.0864244,1274,16.0
1771795299.4930346,1279,20.0
1771795481.7268028,1281,24.0
1771796022.227229,1287,24.0
1771796390.3788745,1291,28.0
1771796480.6737993,1292,24.0
1771796570.6365807,1293,20.0
1771796659.9575348,1294,20.0
1771796842.7633276,1296,36.0
1771797114.9374878,1299,28.0
1771797209.4144402,1300,28.0
1771797391.5709236,1302,28.0
1771797485.8053648,1303,44.0
1771798158.4612682,1310,24.0
1771798350.531562,1312,32.0
1771798640.4877224,1315,24.0
1771798741.647008,1316,28.0
1771799042.307645,1319,36.0
1771799142.300793,1320,8.0
1771799654.317072,1325,36.0
1771799754.2144022,1326,20.0
1771799852.7718272,1327,28.0
1771800156.3080082,1330,36.0
1771800356.430911,1332,28.0
1771800454.3596234,1333,20.0
1771800556.6846454,1334,32.0
1771800657.3164334,1335,12.0
1771800757.6081548,1336,16.0
1771800859.038431,1337,24.0
1771801466.0176127,1343,24.0
1771801970.82095,1348,40.0
1771802070.2428195,1349,32.0
1771802170.867886,1350,12.0
1771802674.3306503,1355,20.0
1771803081.4254646,1359,16.0
1771803281.3074265,1361,16.0
1771803379.1311653,1362,20.0
1771803781.0498583,1366,20.0
1771804184.2234502,1370,24.0
1771804890.6548376,1377,24.0
1771805093.3203442,1379,28.0
1771805398.5982726,1382,52.0
1771805602.0570703,1384,32.0
1771805702.6094513,1385,20.0
1771806002.3731217,1388,12.0
1771806101.763867,1389,20.0
1771806306.2492476,1391,36.0
1771806408.3776293,1392,24.0
1771806708.0501792,1395,24.0
1771808451.1864913,1412,28.0
1771808552.192987,1413,28.0
1771808653.272595,1414,32.0
1771808753.4370406,1415,36.0
1771809171.7104385,1419,28.0
1771809471.1888833,1422,24.0
1771809877.994631,1426,12.0
1771809978.4867594,1427,24.0
1771810079.4399307,1428,28.0
1771810482.2419524,1432,20.0
1771810580.5660412,1433,40.0
1771810680.2674966,1434,36.0
1771810884.524377,1436,28.0
1771811082.6278365,1438,28.0
1771811284.281766,1440,16.0
1771811482.635689,1442,20.0
1771812283.8575556,1450,20.0
1771812761.1773508,1455,20.0
1771812854.579802,1456,28.0
1771813702.6771364,1465,28.0
1771813798.1197038,1466,40.0
1771814838.557378,1477,36.0
1771815211.7616036,1481,20.0
1771815307.4563158,1482,32.0
1771815593.3473651,1485,24.0
1771815687.7853875,1486,28.0
1771815965.2996478,1489,32.0
1771816167.2207623,1491,40.0
1771816262.2043986,1492,32.0
1771816356.034993,1493,36.0
1771817009.4102278,1500,24.0
1771817105.6977723,1501,12.0
1771817199.7115679,1502,36.0
1771817292.7301939,1503,20.0
1771817574.0895004,1506,16.0
1771817761.1989532,1508,28.0
1771817855.5709043,1509,32.0
1771817948.2439585,1510,16.0
1771818041.2768488,1511,32.0
1771818697.9579177,1518,20.0
1771819168.7361488,1523,20.0
1771819263.5478113,1524,16.0
1771819544.389902,1527,16.0
1771820203.35984,1534,28.0
1771820392.1815896,1536,12.0
1771821334.1685753,1546,24.0
1771821545.478698,1548,36.0
1771821824.5977461,1551,32.0
1771821917.0627744,1552,24.0
1771822102.6114278,1554,36.0
1771822196.3209229,1555,24.0
1771822770.3672805,1561,36.0
1771822875.4419806,1562,20.0
1771823449.2880507,1568,36.0
1771823539.1674175,1569,40.0
1771824353.04572,1578,20.0
1771824715.548655,1582,28.0
1771824895.4656827,1584,24.0
1771825256.9631724,1588,32.0
1771825799.1596398,1594,40.0
1771826068.3716345,1597,24.0
1771826252.2028475,1599,20.0
1771826523.052523,1602,44.0
1771826703.5689862,1604,32.0
1771826793.9076748,1605,36.0
1771827158.4749672,1609,24.0
1771827249.3118482,1610,20.0
1771827429.0669296,1612,40.0
1771827520.1485083,1613,20.0
1771827699.52071,1615,28.0
1771827969.8425756,1618,28.0
1771828151.0229895,1620,20.0
1771828513.6138594,1624,32.0
1771828691.2529175,1626,16.0
1771828781.742092,1627,24.0
1771828871.9254038,1628,28.0
1771829053.192064,1630,20.0
1771829230.635002,1632,16.0
1771829684.6585965,1637,20.0
1771829970.8741872,1640,28.0
1771830159.2566566,1642,32.0
1771830445.7363722,1645,28.0
1771830737.1412978,1648,20.0
1771831112.7632782,1652,24.0
1771831393.3176348,1655,28.0
1771831764.4576328,1659,40.0
1771831855.3037694,1660,40.0
1771831945.7576494,1661,20.0
1771832577.8095639,1668,28.0
1771832759.064141,1670,36.0
1771832861.4965012,1671,36.0
1771832952.624352,1672,32.0
1771833221.8118281,1675,12.0
1771833311.4038858,1676,40.0
1771833851.0809212,1682,28.0
1771833941.3703995,1683,16.0
1771834032.7251685,1684,32.0
1771834304.6741107,1687,28.0
1771834668.244786,1691,32.0
1771834757.6429937,1692,40.0
1771834939.6079092,1694,4.0
1771835030.0832655,1695,24.0
1771835121.3765607,1696,28.0
1771835210.4395595,1697,32.0
1771835391.3654723,1699,8.0
1771835664.8665862,1702,32.0
1771835934.3679104,1705,36.0
1771836293.891856,1709,20.0
1771836383.6390288,1710,28.0
1771836834.7249706,1715,36.0
1771837016.328812,1717,20.0
1771837110.0234764,1718,40.0
1771837199.8641515,1719,16.0
1771837564.2869186,1723,12.0
1771837834.6577802,1726,20.0
1771838015.9303813,1728,28.0
1771838376.802113,1732,24.0
1771838468.1878963,1733,8.0
1771838557.2764947,1734,12.0
1771838648.0059893,1735,36.0
1771838828.9823356,1737,16.0
1771839281.3155801,1742,20.0
1771839370.095798,1743,32.0
1771839550.7432008,1745,40.0
1771839641.5330482,1746,8.0
1771839732.6832688,1747,32.0
1771840004.5449386,1750,8.0
1771840185.2360837,1752,24.0
1771840275.9647484,1753,16.0
1771840366.6860895,1754,32.0
1771841093.3189406,1762,32.0
1771841183.6964984,1763,24.0
1771841454.8294523,1766,36.0
1771842271.8280725,1775,12.0
1771842819.460881,1781,12.0
1771842911.524392,1782,16.0
1771843455.5721748,1788,28.0
1771843545.0100052,1789,44.0
1771843636.0666578,1790,12.0
1771843817.3467307,1792,40.0
1771843907.3076084,1793,28.0
1771843995.639711,1794,32.0
1771844358.909119,1798,40.0
1771844906.6418707,1804,24.0
1771844997.6985033,1805,28.0
1771845726.214166,1813,28.0
1771845816.6157596,1814,36.0
1771846090.9340174,1817,28.0
1771846362.4402726,1820,36.0
1771846724.295331,1824,20.0
1771846923.731104,1826,20.0
1771847287.2495315,1830,36.0
1771847827.8432922,1836,24.0
1771848188.9329367,1840,16.0
1771848278.841612,1841,24.0
1771848556.047765,1844,28.0
1771848645.0415304,1845,16.0
1771848735.7327201,1846,32.0
1771849005.599561,1849,40.0
1771849369.2183757,1853,28.0
1771849550.4522803,1855,28.0
1771849734.0129845,1857,32.0
1771849824.815789,1858,32.0
1771849914.510562,1859,16.0
1771850592.7557015,1866,48.0
1771850783.042478,1868,32.0
1771850877.0369618,1869,20.0
1771851449.5122373,1875,28.0
1771851552.76895,1876,36.0
1771851665.1995227,1877,24.0
1771851864.5036297,1879,12.0
1771852063.3663213,1881,20.0
1771853013.5953052,1891,20.0
1771853198.6025178,1893,44.0
1771854037.373532,1902,20.0
1771854404.1378565,1906,16.0
1771854868.7089968,1911,16.0
1771854962.2049618,1912,36.0
1771855055.7867355,1913,32.0
1771855335.866467,1916,20.0
1771855430.0897336,1917,20.0
1771855523.146434,1918,28.0
1771855616.1554508,1919,32.0
1771855987.889037,1923,20.0
1771856081.5151355,1924,36.0
1771856452.0150194,1928,20.0
1771856638.1881437,1930,52.0
1771856824.1608856,1932,20.0
1771857013.2320518,1934,24.0
1771857104.8387327,1935,36.0
1771857199.0622532,1936,24.0
1771857386.2202919,1938,8.0
1771857480.8052697,1939,44.0
1771857944.7557833,1944,32.0
1771858226.5879323,1947,16.0
1771858410.1309884,1949,20.0
1771858690.834804,1952,16.0
1771858972.1958084,1955,36.0
1771859065.0037932,1956,40.0
1771859252.772419,1958,36.0
1771859465.0077765,1960,20.0
1771860028.4296718,1966,28.0
